Orioles,"Baltimore, MD",Oriole Park at Camden Yards ,Orange,Black,#orioles+tickets~Orioles+tickets,BaltimoreBaseball,ET
Red Sox,"Boston, MA ",Fenway Park ,Red,Navy,"#redsox+tickets~""Red Sox""+tickets",BostonBaseball,ET
Yankees,"New York City, NY",Yankee Stadium ,Navy,White,yankees+tickets,NewYorkBaseball,ET
Rays,"St. Petersburg, FL ",Tropicana Field ,Navy,LightBlue,#rays+tickets,FloridaBaseball,ET
Blue Jays ,"Toronto, ON ",Rogers Centre ,White,LightBlue,"#bluejays+tickets~""blue jays""+tickets",TorontoBaseball,ET
White Sox,"Chicago, IL ",U.S. Cellular Field ,White,Black,"#whitesox+tickets~""white sox""+tickets",ChicagoBaseball,CT
Indians,"Cleveland, OH ",Progressive Field ,Red,Blue,#indians+tickets,ClevelandBaseball,ET
Tigers ,"Detroit, MI ",Comerica Park ,Orange,Blue,#tigers+tickets,DetroitBaseball,ET
Royals ,"Kansas City, MO ",Kauffman Stadium ,White,Blue,#royals+tickets,KansasBaseball,CT
Twins,"Minneapolis, MN",Target Field ,Red,Navy,#twins+tickets,MinneapolisBaseball,CT
Angels,"Anaheim, CA ",Angel Stadium of Anaheim,Red,White,#angels+tickets,AnaheimBaseball,PT
Athletics,"Oakland, CA",Oakland-Alameda County Coliseum ,Yellow,Green,athletics+tickets,OaklandBaseball,PT
Mariners,"Seattle, WA ",Safeco Field ,White,Blue,#mariners+tickets,SeattleBaseball,PT
Rangers,"Arlington, TX",Rangers Ballpark in Arlington ,White,Blue,#rangers+tickets,TexasBaseball,CT
Braves,"Atlanta, GA",Turner Field ,Red,White,#braves+tickets,AtlantaBaseball,ET
Marlins,"Miami Gardens, FL ",Sun Life Stadium,White,Black,#marlins+tickets,MiamiBaseball,ET
Mets,"New York City, NY ",Citi Field ,Blue,Orange,#mets+tickets,NYBaseball,ET
Phillies,"Philadelphia, PA ",Citizens Bank Park ,Red,White,#phillies+tickets,PhillyBaseball,ET
Nationals,"Washington, DC",Nationals Park ,Red,White,#nationals+tickets,DCBaseball,ET
Cubs,"Chicago, IL ",Wrigley Field ,Blue,White,#cubs+tickets,WindyCityBaseball,CT
Reds,"Cincinnati, OH ",Great American Ball Park ,Red,White,#reds+tickets,CincityBaseball,ET
Astros,"Houston, TX ",Minute Maid Park ,Black,White,#astros+tickets,HoustonBaseball,CT
Brewers,"Milwaukee, WI",Miller Park ,Blue,White,#brewers+tickets,MilwaukeeBaseball,CT
Pirates,"Pittsburgh, PA ",PNC Park ,Yellow,Black,#pirates+tickets,PittsburghBaseball,ET
Cardinals,"St. Louis, MO ",Busch Stadium,Red,White,#cardinals+tickets,StLouisBaseball,CT
Diamondbacks,"Phoenix, AZ ",Chase Field,Red,Black,#diamondbacks+tickets,PhoenixBaseball,MT
Rockies,"Denver, CO ",Coors Field ,Black,Purple,#rockies+tickets,DenverBaseball,MT
Dodgers,"Los Angeles, CA",Dodger Stadium ,Blue,White,#dodgers+tickets,LABaseball,PT
Padres,"San Diego, CA ",Petco Park ,Navy,White,#padres+tickets,SDBaseball,PT
Giants,"San Francisco, CA",AT&T Park ,Black,Orange,#giants+tickets,SFBaseball,PT
